trimestre,CVEMET,zona_metro,acteco
2011-09-01,064,Guanajuato,13370.1525581666
2011-09-01,065,Irapuato,58701.2282419101
2011-09-01,066,Salamanca,41455.7904466822
2011-09-01,067,Uruapan,29168.127141053
2011-09-01,068,San Juan del Río,36042.9682448797
2011-09-01,069,Los Mochis,43620.1615001281
2011-09-01,070,Culiacán,90754.5744601693
2011-09-01,071,Mazatlán,60630.2763181976
2011-09-01,072,Cd. Obregón,48864.6456975527
2011-09-01,073,Hermosillo,121117.847843257
2011-09-01,074,Cárdenas,50755.2042615219
2011-09-01,075,Cd. Victoria,46064.5009971127
2011-09-01,076,Chetumal,19013.3576943399
2011-09-01,077,Chilpancingo,19926.3969659328
2011-09-01,078,Moroleón,8586.64553810929
2011-12-01,001,Aguascalientes,144086.431307153
2011-12-01,002,Tijuana,194327.199010209
2011-12-01,003,Mexicali,154656.02382804
2011-12-01,004,La Laguna,255344.705756861
2011-12-01,005,Saltillo,121167.715279078
2011-12-01,006,Monclova,61854.1966579386
2011-12-01,007,Piedras Negras,40341.3989514782
2011-12-01,008,Colima,44812.1423679037
2011-12-01,009,Tecomán,9939.19335901712
2011-12-01,010,Tuxtla,100006.283697146
2011-12-01,011,Juárez,234454.634712249
2011-12-01,012,Chihuahua,83569.4491916262
2011-12-01,013,CDMX,3530941.51176741
2011-12-01,014,León,185942.415245359
2011-12-01,015,San Francisco,19394.0794622998
2011-12-01,016,Acapulco,86190.8282341403
2011-12-01,017,Pachuca,70106.7785460049
2011-12-01,018,Tulancingo,23445.129444884
2011-12-01,019,Tula,40491.1974741847
2011-12-01,020,Guadalajara,659029.6129771
2011-12-01,021,Puerto Vallarta,54989.0311239662
2011-12-01,022,Ocotlán,12135.7368308133
2011-12-01,023,Toluca,170587.070680981
2011-12-01,024,Morelia,100132.67905932
2011-12-01,025,Zamora,21226.6546931428
2011-12-01,026,Pénjamo,24694.7176376912
2011-12-01,027,Cuernavaca,90411.4239628453
2011-12-01,028,Cuautla,50319.6987527172
2011-12-01,029,Tepic,52193.4920306143
2011-12-01,030,Monterrey,895253.561311771
2011-12-01,031,Oaxaca,74336.966803577
2011-12-01,032,Tehuantepec,33092.7656118798
2011-12-01,033,Puebla,309652.962327852
2011-12-01,034,Tehuacán,25565.6013068461
2011-12-01,035,Querétaro,215272.374216633
2011-12-01,036,Cancún,135043.985653821
2011-12-01,037,San Luis,183115.801259846
2011-12-01,038,Cd. Fernández,8714.209000404
2011-12-01,039,Guaymas,36346.4186387443
2011-12-01,040,Villahermosa,207603.331266709
2011-12-01,041,Tampico,92785.1301515572
2011-12-01,042,Reynosa,131982.094120478
2011-12-01,043,Matamoros,70865.3933233038
2011-12-01,044,Nuevo Laredo,103690.683117707
2011-12-01,045,Tlaxcala,47944.1564935303
2011-12-01,046,Veracruz,145535.454735673
2011-12-01,047,Xalapa,78123.5779211497
2011-12-01,048,Poza Rica,54279.4091841552
2011-12-01,049,Orizaba,60046.1998017152
2011-12-01,050,Minatitlán,87407.9910484932
2011-12-01,051,Coatzacoalcos,120335.658452231
2011-12-01,052,Córdoba,23561.8570443847
2011-12-01,053,Mérida,171726.877691279
2011-12-01,054,Zacatecas,42650.400071177
2011-12-01,055,Ensenada,60451.1396540485
2011-12-01,056,La Paz,54325.3632276913
2011-12-01,057,Los Cabos,38944.8907940375
2011-12-01,058,Campeche,270892.714754452
2011-12-01,059,Cd. del Carmen,251876.470903739
2011-12-01,060,Manzanillo,31771.2021204026
2011-12-01,061,Tapachula,21794.4476959377
2011-12-01,062,Durango,56747.567533007
2011-12-01,063,Celaya,77071.497435854
2011-12-01,064,Guanajuato,14024.8624697077
2011-12-01,065,Irapuato,60291.8315208785
2011-12-01,066,Salamanca,44041.5300597679
2011-12-01,067,Uruapan,30101.5213253255
2011-12-01,068,San Juan del Río,37283.6089013658
2011-12-01,069,Los Mochis,46902.7384110411
2011-12-01,070,Culiacán,98427.0708840893
