"r_sun","cvenet","ent","cvemun","mun","zona_met","tipo_ciudad","nombre_corto"
20,0,"Jalisco",14120,"Zapopan","Guadalajara",1,"Guadalajara"
21,0,"Jalisco",14067,"Puerto Vallarta","Puerto Vallarta",1,"Puerto Vallarta"
21,0,"Nayarit",18020,"Bahía de Banderas","Puerto Vallarta",1,"Puerto Vallarta"
22,0,"Jalisco",14063,"Ocotlán","Ocotlán",1,"Ocotlán"
22,0,"Jalisco",14066,"Poncitlán","Ocotlán",1,"Ocotlán"
23,0,"México",15005,"Almoloya de Juárez","Toluca",1,"Toluca"
23,0,"México",15018,"Calimaya","Toluca",1,"Toluca"
23,0,"México",15027,"Chapultepec","Toluca",1,"Toluca"
23,0,"México",15051,"Lerma","Toluca",1,"Toluca"
23,0,"México",15054,"Metepec","Toluca",1,"Toluca"
23,0,"México",15055,"Mexicaltzingo","Toluca",1,"Toluca"
23,0,"México",15062,"Ocoyoacac","Toluca",1,"Toluca"
23,0,"México",15067,"Otzolotepec","Toluca",1,"Toluca"
23,0,"México",15072,"Rayón","Toluca",1,"Toluca"
23,0,"México",15073,"San Antonio la Isla","Toluca",1,"Toluca"
23,0,"México",15076,"San Mateo Atenco","Toluca",1,"Toluca"
23,0,"México",15087,"Temoaya","Toluca",1,"Toluca"
23,0,"México",15106,"Toluca","Toluca",1,"Toluca"
23,0,"México",15115,"Xonacatlán","Toluca",1,"Toluca"
23,0,"México",15118,"Zinacantepec","Toluca",1,"Toluca"
24,0,"Michoacán",16022,"Charo","Morelia",1,"Morelia"
24,0,"Michoacán",16053,"Morelia","Morelia",1,"Morelia"
24,0,"Michoacán",16088,"Tarímbaro","Morelia",1,"Morelia"
25,0,"Michoacán",16043,"Jacona","Zamora-Jacona",1,"Zamora"
25,0,"Michoacán",16108,"Zamora","Zamora-Jacona",1,"Zamora"
26,0,"Guanajuato",11023,"Pénjamo","La Piedad-Pénjamo",1,"Pénjamo"
26,0,"Michoacán",16069,"La Piedad","La Piedad-Pénjamo",1,"Pénjamo"
27,0,"Morelos",17007,"Cuernavaca","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17008,"Emiliano Zapata","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17009,"Huitzilac","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17011,"Jiutepec","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17018,"Temixco","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17020,"Tepoztlán","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17024,"Tlaltizapán","Cuernavaca",1,"Cuernavaca"
27,0,"Morelos",17028,"Xochitepec","Cuernavaca",1,"Cuernavaca"
28,0,"Morelos",17002,"Atlatlahucan","Cuautla",1,"Cuautla"
28,0,"Morelos",17004,"Ayala","Cuautla",1,"Cuautla"
28,0,"Morelos",17006,"Cuautla","Cuautla",1,"Cuautla"
28,0,"Morelos",17026,"Tlayacapan","Cuautla",1,"Cuautla"
28,0,"Morelos",17029,"Yautepec","Cuautla",1,"Cuautla"
28,0,"Morelos",17030,"Yecapixtla","Cuautla",1,"Cuautla"
29,0,"Nayarit",18008,"Xalisco","Tepic",1,"Tepic"
29,0,"Nayarit",18017,"Tepic","Tepic",1,"Tepic"
30,0,"Nuevo León",19006,"Apodaca","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19009,"Cadereyta Jiménez","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19010,"Carmen","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19018,"García","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19019,"San Pedro Garza García","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19021,"General Escobedo","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19026,"Guadalupe","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19031,"Juárez","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19039,"Monterrey","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19045,"Salinas Victoria","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19046,"San Nicolás de los Garza","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19048,"Santa Catarina","Monterrey",1,"Monterrey"
30,0,"Nuevo León",19049,"Santiago","Monterrey",1,"Monterrey"
31,0,"Oaxaca",20067,"Oaxaca de Juárez","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20083,"San Agustín de las Juntas","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20087,"San Agustín Yatareni","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20091,"San Andrés Huayápam","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20107,"San Antonio de la Cal","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20115,"San Bartolo Coyotepec","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20157,"San Jacinto Amilpas","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20174,"Ánimas Trujano","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20227,"San Lorenzo Cacaotepec","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20293,"San Pablo Etla","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20338,"Villa de Etla","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20350,"San Sebastián Tutla","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20375,"Santa Cruz Amilpas","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20385,"Santa Cruz Xoxocotlán","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20390,"Santa Lucía del Camino","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20399,"Santa María Atzompa","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20403,"Santa María Coyotepec","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20409,"Santa María del Tule","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20519,"Santo Domingo Tomaltepec","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20539,"Soledad Etla","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20553,"Tlalixtac de Cabrera","Oaxaca",1,"Oaxaca"
31,0,"Oaxaca",20565,"Villa de Zaachila","Oaxaca",1,"Oaxaca"
32,0,"Oaxaca",20079,"Salina Cruz","Tehuantepec-Salina Cruz",1,"Tehuantepec"
32,0,"Oaxaca",20124,"San Blas Atempa","Tehuantepec-Salina Cruz",1,"Tehuantepec"
32,0,"Oaxaca",20515,"Santo Domingo Tehuantepec","Tehuantepec-Salina Cruz",1,"Tehuantepec"
33,0,"Puebla",21001,"Acajete","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21015,"Amozoc","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21034,"Coronango","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21041,"Cuautlancingo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21048,"Chiautzingo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21060,"Domingo Arenas","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21074,"Huejotzingo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21090,"Juan C. Bonilla","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21106,"Ocoyucan","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21114,"Puebla","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21119,"San Andrés Cholula","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21122,"San Felipe Teotlalcingo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21125,"San Gregorio Atzompa","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21132,"San Martín Texmelucan","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21136,"San Miguel Xoxtla","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21140,"San Pedro Cholula","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21143,"San Salvador el Verde","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21163,"Tepatlaxco de Hidalgo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Puebla",21181,"Tlaltenango","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29015,"Ixtacuixtla de Mariano Matamoros","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29017,"Mazatecochco de José María Morelos","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29019,"Tepetitla de Lardizábal","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29022,"Acuamanala de Miguel Hidalgo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29023,"Natívitas","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29025,"San Pablo del Monte","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29027,"Tenancingo","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29028,"Teolocholco","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29029,"Tepeyanco","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29032,"Tetlatlahuca","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29041,"Papalotla de Xicohténcatl","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29042,"Xicohtzinco","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29044,"Zacatelco","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29051,"San Jerónimo Zacualpan","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29053,"San Juan Huactzinco","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29054,"San Lorenzo Axocomanitla","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29056,"Santa Ana Nopalucan","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29057,"Santa Apolonia Teacalco","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29058,"Santa Catarina Ayometla","Puebla-Tlaxcala",1,"Puebla"
33,0,"Tlaxcala",29059,"Santa Cruz Quilehtla","Puebla-Tlaxcala",1,"Puebla"
34,0,"Puebla",21149,"Santiago Miahuatlán","Tehuacán",1,"Tehuacán"
34,0,"Puebla",21156,"Tehuacán","Tehuacán",1,"Tehuacán"
35,0,"Querétaro",22006,"Corregidora","Querétaro",1,"Querétaro"
35,0,"Querétaro",22008,"Huimilpan","Querétaro",1,"Querétaro"
35,0,"Querétaro",22011,"El Marqués","Querétaro",1,"Querétaro"
35,0,"Querétaro",22014,"Querétaro","Querétaro",1,"Querétaro"
36,0,"Quintana Roo",23003,"Isla Mujeres","Cancún",1,"Cancún"
36,0,"Quintana Roo",23005,"Benito Juárez","Cancún",1,"Cancún"
37,0,"San Luis Potosí",24028,"San Luis Potosí","San Luis Potosí-Soledad",1,"San Luis"
37,0,"San Luis Potosí",24035,"Soledad de Graciano Sánchez","San Luis Potosí-Soledad",1,"San Luis"
38,0,"San Luis Potosí",24011,"Ciudad Fernández","Rioverde-Ciudad Fernández",1,"Cd. Fernández"
38,0,"San Luis Potosí",24024,"Rioverde","Rioverde-Ciudad Fernández",1,"Cd. Fernández"
39,0,"Sonora",26025,"Empalme","Guaymas",1,"Guaymas"
39,0,"Sonora",26029,"Guaymas","Guaymas",1,"Guaymas"
40,0,"Tabasco",27004,"Centro","Villahermosa",1,"Villahermosa"
40,0,"Tabasco",27013,"Nacajuca","Villahermosa",1,"Villahermosa"
41,0,"Tamaulipas",28003,"Altamira","Tampico-Pánuco",1,"Tampico"
41,0,"Tamaulipas",28009,"Ciudad Madero","Tampico-Pánuco",1,"Tampico"
41,0,"Tamaulipas",28038,"Tampico","Tampico-Pánuco",1,"Tampico"
41,0,"Veracruz",30123,"Pánuco","Tampico-Pánuco",1,"Tampico"
41,0,"Veracruz",30133,"Pueblo Viejo","Tampico-Pánuco",1,"Tampico"
42,0,"Tamaulipas",28032,"Reynosa","Reynosa-Río Bravo",1,"Reynosa"
42,0,"Tamaulipas",28033,"Río Bravo","Reynosa-Río Bravo",1,"Reynosa"
43,0,"Tamaulipas",28022,"Matamoros","Matamoros",1,"Matamoros"
44,0,"Tamaulipas",28027,"Nuevo Laredo","Nuevo Laredo",1,"Nuevo Laredo"
45,0,"Tlaxcala",29001,"Amaxac de Guerrero","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29002,"Apetatitlán de Antonio Carvajal","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29005,"Apizaco","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29009,"Cuaxomulco","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29010,"Chiautempan","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29018,"Contla de Juan Cuamatzi","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29024,"Panotla","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29026,"Santa Cruz Tlaxcala","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29031,"Tetla de la Solidaridad","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29033,"Tlaxcala","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29035,"Tocatlán","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29036,"Totolac","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29038,"Tzompantepec","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29039,"Xaloztoc","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29043,"Yauhquemehcan","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29048,"La Magdalena Tlaltelulco","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29049,"San Damián Texoloc","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29050,"San Francisco Tetlanohcan","Tlaxcala-Apizaco",1,"Tlaxcala"
45,0,"Tlaxcala",29060,"Santa Isabel Xiloxoxtla","Tlaxcala-Apizaco",1,"Tlaxcala"
46,0,"Veracruz",30011,"Alvarado","Veracruz",1,"Veracruz"
46,0,"Veracruz",30028,"Boca del Río","Veracruz",1,"Veracruz"
46,0,"Veracruz",30090,"Jamapa","Veracruz",1,"Veracruz"
46,0,"Veracruz",30105,"Medellín","Veracruz",1,"Veracruz"
46,0,"Veracruz",30193,"Veracruz","Veracruz",1,"Veracruz"
47,0,"Veracruz",30026,"Banderilla","Xalapa",1,"Xalapa"
47,0,"Veracruz",30038,"Coatepec","Xalapa",1,"Xalapa"
47,0,"Veracruz",30065,"Emiliano Zapata","Xalapa",1,"Xalapa"
47,0,"Veracruz",30087,"Xalapa","Xalapa",1,"Xalapa"
47,0,"Veracruz",30093,"Jilotepec","Xalapa",1,"Xalapa"
47,0,"Veracruz",30136,"Rafael Lucio","Xalapa",1,"Xalapa"
47,0,"Veracruz",30182,"Tlalnelhuayocan","Xalapa",1,"Xalapa"
48,0,"Veracruz",30033,"Cazones Herrera","Poza Rica",1,"Poza Rica"
48,0,"Veracruz",30040,"Coatzintla","Poza Rica",1,"Poza Rica"
48,0,"Veracruz",30124,"Papantla","Poza Rica",1,"Poza Rica"
48,0,"Veracruz",30131,"Poza Rica de Hidalgo","Poza Rica",1,"Poza Rica"
48,0,"Veracruz",30175,"Tihuatlán","Poza Rica",1,"Poza Rica"
49,0,"Veracruz",30022,"Atzacan","Orizaba",1,"Orizaba"
49,0,"Veracruz",30030,"Camerino Z. Mendoza","Orizaba",1,"Orizaba"
49,0,"Veracruz",30074,"Huiloapan de Cuauhtémoc","Orizaba",1,"Orizaba"
49,0,"Veracruz",30081,"Ixhuatlancillo","Orizaba",1,"Orizaba"
49,0,"Veracruz",30085,"Ixtaczoquitlán","Orizaba",1,"Orizaba"
49,0,"Veracruz",30099,"Maltrata","Orizaba",1,"Orizaba"
49,0,"Veracruz",30101,"Mariano Escobedo","Orizaba",1,"Orizaba"
49,0,"Veracruz",30115,"Nogales","Orizaba",1,"Orizaba"
49,0,"Veracruz",30118,"Orizaba","Orizaba",1,"Orizaba"
49,0,"Veracruz",30135,"Rafael Delgado","Orizaba",1,"Orizaba"
49,0,"Veracruz",30138,"Río Blanco","Orizaba",1,"Orizaba"
49,0,"Veracruz",30185,"Tlilapan","Orizaba",1,"Orizaba"
50,0,"Veracruz",30048,"Cosoleacaque","Minatitlán",1,"Minatitlán"
50,0,"Veracruz",30059,"Chinameca","Minatitlán",1,"Minatitlán"
50,0,"Veracruz",30089,"Jáltipan","Minatitlán",1,"Minatitlán"
50,0,"Veracruz",30108,"Minatitlán","Minatitlán",1,"Minatitlán"
50,0,"Veracruz",30120,"Oteapan","Minatitlán",1,"Minatitlán"
50,0,"Veracruz",30199,"Zaragoza","Minatitlán",1,"Minatitlán"
51,0,"Veracruz",30039,"Coatzacoalcos","Coatzacoalcos",1,"Coatzacoalcos"
